time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:20:35.308718,[],0,"(-0.5849084854125977, 0.3935636579990387, -0.5952743291854858, -0.3855362832546234, 0.018847940489649773, 0.002917509526014328, 0.0024033330846577883, 9.758855819702148, -0.18406955897808075, -0.06479330360889435, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.005372147541493177, 0.7296319007873535, -0.22669494152069092, -0.6451494693756104, -0.009938533417880535, 0.008883221074938774, 0.037641741335392, 9.341686248779297, -3.058554172515869, -0.6654731035232544, -0.4436495006084442, 0.6401415467262268, -0.28808286786079407, -0.5571374893188477, -0.004589403513818979, 0.009130491875112057, -0.03475175425410271, 9.621721267700195, 1.1908316612243652, -1.971986174583435, 0.09553661942481995, 0.32426774501800537, 0.19303366541862488, -0.9211195111274719, -0.003635841654613614, 0.005217081401497126, 0.00909204687923193, 6.181233882904053, -0.47617921233177185, 7.563038349151611, 0.24730490148067474, 0.2533089220523834, 0.46344271302223206, -0.8123396635055542, -0.006262628361582756, 0.0008324861410073936, 0.002991796936839819, 6.290065288543701, -1.710188865661621, 7.357684135437012, 0.0)"
2023/02/21/14:20:35.318689,[],0,"(-0.5849084854125977, 0.3935636579990387, -0.5952743291854858, -0.3855362832546234, 0.018847940489649773, 0.002917509526014328, 0.0024033330846577883, 9.758855819702148, -0.18406955897808075, -0.06479330360889435, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.005372147541493177, 0.7296319007873535, -0.22669494152069092, -0.6451494693756104, -0.009938533417880535, 0.008883221074938774, 0.037641741335392, 9.341686248779297, -3.058554172515869, -0.6654731035232544, -0.4436495006084442, 0.6401415467262268, -0.28808286786079407, -0.5571374893188477, -0.004589403513818979, 0.009130491875112057, -0.03475175425410271, 9.621721267700195, 1.1908316612243652, -1.971986174583435, 0.09553661942481995, 0.32426774501800537, 0.19303366541862488, -0.9211195111274719, -0.003635841654613614, 0.005217081401497126, 0.00909204687923193, 6.181233882904053, -0.47617921233177185, 7.563038349151611, 0.24730490148067474, 0.2533089220523834, 0.46344271302223206, -0.8123396635055542, -0.006262628361582756, 0.0008324861410073936, 0.002991796936839819, 6.290065288543701, -1.710188865661621, 7.357684135437012, 0.0)"
2023/02/21/14:20:35.328887,[],0,"(-0.5849084854125977, 0.3935636579990387, -0.5952743291854858, -0.3855362832546234, 0.018847940489649773, 0.002917509526014328, 0.0024033330846577883, 9.758855819702148, -0.18406955897808075, -0.06479330360889435, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.005372147541493177, 0.7296319007873535, -0.22669494152069092, -0.6451494693756104, -0.009938533417880535, 0.008883221074938774, 0.037641741335392, 9.341686248779297, -3.058554172515869, -0.6654731035232544, -0.4436495006084442, 0.6401415467262268, -0.28808286786079407, -0.5571374893188477, -0.004589403513818979, 0.009130491875112057, -0.03475175425410271, 9.621721267700195, 1.1908316612243652, -1.971986174583435, 0.09553661942481995, 0.32426774501800537, 0.19303366541862488, -0.9211195111274719, -0.003635841654613614, 0.005217081401497126, 0.00909204687923193, 6.181233882904053, -0.47617921233177185, 7.563038349151611, 0.24730490148067474, 0.2533089220523834, 0.46344271302223206, -0.8123396635055542, -0.006262628361582756, 0.0008324861410073936, 0.002991796936839819, 6.290065288543701, -1.710188865661621, 7.357684135437012, 0.0)"
2023/02/21/14:20:35.338621,[],0,"(-0.5849829316139221, 0.3935930132865906, -0.5952603220939636, -0.3854149281978607, 0.013521429151296616, -0.009059530682861805, 0.0065538762137293816, 9.785619735717773, -0.19197019934654236, -0.02534381113946438, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.005372147541493177, 0.7296319007873535, -0.22669494152069092, -0.6451494693756104, -0.009938533417880535, 0.008883221074938774, 0.037641741335392, 9.341686248779297, -3.058554172515869, -0.6654731035232544, -0.4438016414642334, 0.6400924324989319, -0.2878904640674591, -0.5571721792221069, -0.004792916588485241, 0.0009378310642205179, -0.036773432046175, 9.613973617553711, 1.0896830558776855, -1.9287197589874268, 0.09557626396417618, 0.32425448298454285, 0.1929997205734253, -0.921127200126648, -0.007397708483040333, 0.005306616425514221, 0.008666536770761013, 6.164744853973389, -0.4732534885406494, 7.55620002746582, 0.24730490148067474, 0.2533089220523834, 0.46344271302223206, -0.8123396635055542, -0.006262628361582756, 0.0008324861410073936, 0.002991796936839819, 6.290065288543701, -1.710188865661621, 7.357684135437012, 0.0)"
2023/02/21/14:20:35.349215,[],0,"(-0.5849829316139221, 0.3935930132865906, -0.5952603220939636, -0.3854149281978607, 0.013521429151296616, -0.009059530682861805, 0.0065538762137293816, 9.785619735717773, -0.19197019934654236, -0.02534381113946438, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.005372147541493177, 0.7296319007873535, -0.22669494152069092, -0.6451494693756104, -0.009938533417880535, 0.008883221074938774, 0.037641741335392, 9.341686248779297, -3.058554172515869, -0.6654731035232544, -0.4438016414642334, 0.6400924324989319, -0.2878904640674591, -0.5571721792221069, -0.004792916588485241, 0.0009378310642205179, -0.036773432046175, 9.613973617553711, 1.0896830558776855, -1.9287197589874268, 0.09557626396417618, 0.32425448298454285, 0.1929997205734253, -0.921127200126648, -0.007397708483040333, 0.005306616425514221, 0.008666536770761013, 6.164744853973389, -0.4732534885406494, 7.55620002746582, 0.24730490148067474, 0.2533089220523834, 0.46344271302223206, -0.8123396635055542, -0.006262628361582756, 0.0008324861410073936, 0.002991796936839819, 6.290065288543701, -1.710188865661621, 7.357684135437012, 0.0)"
2023/02/21/14:20:35.358721,[],0,"(-0.5849829316139221, 0.3935930132865906, -0.5952603220939636, -0.3854149281978607, 0.013521429151296616, -0.009059530682861805, 0.0065538762137293816, 9.785619735717773, -0.19197019934654236, -0.02534381113946438, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.005372147541493177, 0.7296319007873535, -0.22669494152069092, -0.6451494693756104, -0.009938533417880535, 0.008883221074938774, 0.037641741335392, 9.341686248779297, -3.058554172515869, -0.6654731035232544, -0.4438016414642334, 0.6400924324989319, -0.2878904640674591, -0.5571721792221069, -0.004792916588485241, 0.0009378310642205179, -0.036773432046175, 9.613973617553711, 1.0896830558776855, -1.9287197589874268, 0.09557626396417618, 0.32425448298454285, 0.1929997205734253, -0.921127200126648, -0.007397708483040333, 0.005306616425514221, 0.008666536770761013, 6.164744853973389, -0.4732534885406494, 7.55620002746582, 0.24730490148067474, 0.2533089220523834, 0.46344271302223206, -0.8123396635055542, -0.006262628361582756, 0.0008324861410073936, 0.002991796936839819, 6.290065288543701, -1.710188865661621, 7.357684135437012, 0.0)"
2023/02/21/14:20:35.368630,[],0,"(-0.5853360295295715, 0.3937276005744934, -0.5950430035591125, -0.3850768208503723, 0.012260966934263706, -0.029206911101937294, 0.00341692753136158, 9.769044876098633, -0.25231239199638367, -0.05449293553829193, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.0047460016794502735, 0.7295267581939697, -0.22715328633785248, -0.6451120972633362, -0.0036173039115965366, 0.009226164780557156, 0.043563708662986755, 9.33156681060791, -3.1283323764801025, -0.6781967282295227, -0.44392499327659607, 0.6400209069252014, -0.2873353958129883, -0.5574426054954529, -0.027959249913692474, 0.00914548709988594, -0.037127796560525894, 9.65437126159668, 1.2227472066879272, -2.0783605575561523, 0.09558915346860886, 0.324261873960495, 0.19291983544826508, -0.9211400151252747, -0.003703601425513625, 0.005634794011712074, 0.008679576218128204, 6.163991451263428, -0.4754120409488678, 7.542340278625488, 0.2475322186946869, 0.25330281257629395, 0.4634680151939392, -0.8122578859329224, -0.010676135309040546, -0.001716787344776094, 0.004737568087875843, 6.27407693862915, -1.6743156909942627, 7.355715274810791, 0.0)"
2023/02/21/14:20:35.378681,[],0,"(-0.5853360295295715, 0.3937276005744934, -0.5950430035591125, -0.3850768208503723, 0.012260966934263706, -0.029206911101937294, 0.00341692753136158, 9.769044876098633, -0.25231239199638367, -0.05449293553829193, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.0047460016794502735, 0.7295267581939697, -0.22715328633785248, -0.6451120972633362, -0.0036173039115965366, 0.009226164780557156, 0.043563708662986755, 9.33156681060791, -3.1283323764801025, -0.6781967282295227, -0.44392499327659607, 0.6400209069252014, -0.2873353958129883, -0.5574426054954529, -0.027959249913692474, 0.00914548709988594, -0.037127796560525894, 9.65437126159668, 1.2227472066879272, -2.0783605575561523, 0.09558915346860886, 0.324261873960495, 0.19291983544826508, -0.9211400151252747, -0.003703601425513625, 0.005634794011712074, 0.008679576218128204, 6.163991451263428, -0.4754120409488678, 7.542340278625488, 0.2475322186946869, 0.25330281257629395, 0.4634680151939392, -0.8122578859329224, -0.010676135309040546, -0.001716787344776094, 0.004737568087875843, 6.27407693862915, -1.6743156909942627, 7.355715274810791, 0.0)"
2023/02/21/14:20:35.388749,[],0,"(-0.5853360295295715, 0.3937276005744934, -0.5950430035591125, -0.3850768208503723, 0.012260966934263706, -0.029206911101937294, 0.00341692753136158, 9.769044876098633, -0.25231239199638367, -0.05449293553829193, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659997940063477, 0.1588170975446701, 0.6088488698005676, -0.13162240386009216, 0.02209307998418808, -0.02133975736796856, -0.05694207549095154, 9.65610122680664, -0.24766933917999268, -2.041391134262085, -0.0047460016794502735, 0.7295267581939697, -0.22715328633785248, -0.6451120972633362, -0.0036173039115965366, 0.009226164780557156, 0.043563708662986755, 9.33156681060791, -3.1283323764801025, -0.6781967282295227, -0.44392499327659607, 0.6400209069252014, -0.2873353958129883, -0.5574426054954529, -0.027959249913692474, 0.00914548709988594, -0.037127796560525894, 9.65437126159668, 1.2227472066879272, -2.0783605575561523, 0.09558915346860886, 0.324261873960495, 0.19291983544826508, -0.9211400151252747, -0.003703601425513625, 0.005634794011712074, 0.008679576218128204, 6.163991451263428, -0.4754120409488678, 7.542340278625488, 0.2475322186946869, 0.25330281257629395, 0.4634680151939392, -0.8122578859329224, -0.010676135309040546, -0.001716787344776094, 0.004737568087875843, 6.27407693862915, -1.6743156909942627, 7.355715274810791, 0.0)"
2023/02/21/14:20:35.398736,[],0,"(-0.5856871604919434, 0.3938305974006653, -0.5947913527488708, -0.38482627272605896, 0.009385699406266212, -0.02742617018520832, -0.0015600589103996754, 9.805159568786621, -0.2923387289047241, -0.04394758865237236, 0.2492278516292572, 0.7360223531723022, -0.013249477371573448, -0.6292702555656433, 0.010468765161931515, 0.00632494268938899, 0.029905106872320175, 9.093310356140137, -2.973651885986328, -2.102653741836548, 0.7659764289855957, 0.16082434356212616, 0.6086138486862183, -0.13040274381637573, -0.0008683492778800428, -0.009195965714752674, -0.04360032454133034, 9.635111808776855, -0.23611971735954285, -2.0709259510040283, -0.0047460016794502735, 0.7295267581939697, -0.22715328633785248, -0.6451120972633362, -0.0036173039115965366, 0.009226164780557156, 0.043563708662986755, 9.33156681060791, -3.1283323764801025, -0.6781967282295227, -0.4441312849521637, 0.6398054361343384, -0.2869713604450226, -0.5577130317687988, -0.0027071135118603706, 0.012111498974263668, -0.03816329687833786, 9.65011215209961, 1.1105009317398071, -2.057541847229004, 0.09563133865594864, 0.3243013620376587, 0.19285282492637634, -0.9211357235908508, -0.0006549271056428552, 0.002226241398602724, 0.007739237509667873, 6.178072452545166, -0.4756487309932709, 7.528629302978516, 0.24776849150657654, 0.2534653842449188, 0.46353739500045776, -0.8120955228805542, -0.013764205388724804, -0.010920856148004532, -0.0030070829670876265, 6.235662460327148, -1.6930012702941895, 7.363694190979004, 0.0)"
