time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:24:06.988621,[],0,"(-0.5578075051307678, 0.4369589388370514, -0.578292965888977, -0.4043450653553009, 0.07214204967021942, -0.07293207198381424, -0.009900475852191448, 9.769932746887207, -0.5740493535995483, -0.33285650610923767, 0.14495041966438293, 0.7632812261581421, -0.06673245877027512, -0.6260495185852051, -0.005870955530554056, -0.02514258772134781, -0.009851505979895592, 9.119694709777832, -3.0213212966918945, -2.04852032661438, 0.7558035254478455, 0.21464569866657257, 0.585641622543335, -0.19927892088890076, 0.004543664865195751, 0.019074074923992157, -0.024823294952511787, 9.634194374084473, -0.3010222017765045, -2.1091127395629883, -0.08101171255111694, 0.7473583221435547, -0.2706005275249481, -0.6013883352279663, -0.01673101633787155, -0.020133087411522865, 0.018520331010222435, 9.330857276916504, -3.04717755317688, -1.1542184352874756, -0.40852266550064087, 0.6832576394081116, -0.2755744159221649, -0.5388199687004089, -0.08678719401359558, 0.07060299813747406, -0.014868361875414848, 9.60092830657959, 1.017816185951233, -2.393636703491211, 0.07782763987779617, 0.3189661204814911, 0.14048297703266144, -0.9340599775314331, -0.011124515905976295, -0.0023682292085140944, 0.002331993542611599, 6.037936210632324, -0.6261467337608337, 7.673480987548828, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:06.998741,[],0,"(-0.5578075051307678, 0.4369589388370514, -0.578292965888977, -0.4043450653553009, 0.07214204967021942, -0.07293207198381424, -0.009900475852191448, 9.769932746887207, -0.5740493535995483, -0.33285650610923767, 0.14495041966438293, 0.7632812261581421, -0.06673245877027512, -0.6260495185852051, -0.005870955530554056, -0.02514258772134781, -0.009851505979895592, 9.119694709777832, -3.0213212966918945, -2.04852032661438, 0.7558035254478455, 0.21464569866657257, 0.585641622543335, -0.19927892088890076, 0.004543664865195751, 0.019074074923992157, -0.024823294952511787, 9.634194374084473, -0.3010222017765045, -2.1091127395629883, -0.08101171255111694, 0.7473583221435547, -0.2706005275249481, -0.6013883352279663, -0.01673101633787155, -0.020133087411522865, 0.018520331010222435, 9.330857276916504, -3.04717755317688, -1.1542184352874756, -0.40852266550064087, 0.6832576394081116, -0.2755744159221649, -0.5388199687004089, -0.08678719401359558, 0.07060299813747406, -0.014868361875414848, 9.60092830657959, 1.017816185951233, -2.393636703491211, 0.07782763987779617, 0.3189661204814911, 0.14048297703266144, -0.9340599775314331, -0.011124515905976295, -0.0023682292085140944, 0.002331993542611599, 6.037936210632324, -0.6261467337608337, 7.673480987548828, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:07.008571,[],0,"(-0.5611988306045532, 0.4368871748447418, -0.5772511959075928, -0.401206374168396, 0.05516291409730911, -0.07690877467393875, -0.0024926012847572565, 9.794713020324707, -0.48077166080474854, -0.33852311968803406, 0.1449117809534073, 0.7634441256523132, -0.06691592186689377, -0.6258401274681091, 0.014515633694827557, -0.025760380551218987, -0.0032164028380066156, 9.09356689453125, -3.0892348289489746, -2.1728904247283936, 0.7558112740516663, 0.21437427401542664, 0.5858334302902222, -0.1989777535200119, -0.047238487750291824, 0.017582256346940994, -0.012252815067768097, 9.596954345703125, -0.26756343245506287, -2.0802412033081055, -0.08071887493133545, 0.7476261258125305, -0.27077150344848633, -0.6010178923606873, 0.004199374467134476, -0.028426116332411766, 0.01796196773648262, 9.163344383239746, -3.38846492767334, -1.3431466817855835, -0.40660685300827026, 0.6836508512496948, -0.2737537920475006, -0.5406951308250427, -0.22200685739517212, 0.05151071771979332, -0.004179058130830526, 9.615873336791992, 0.9046626091003418, -2.4896650314331055, 0.07773155719041824, 0.319112092256546, 0.1404663324356079, -0.9340205788612366, 0.011064539663493633, -0.011204230599105358, -0.00011990440543740988, 6.078396797180176, -0.6168227195739746, 7.625842094421387, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:07.018645,[],0,"(-0.5611988306045532, 0.4368871748447418, -0.5772511959075928, -0.401206374168396, 0.05516291409730911, -0.07690877467393875, -0.0024926012847572565, 9.794713020324707, -0.48077166080474854, -0.33852311968803406, 0.1449117809534073, 0.7634441256523132, -0.06691592186689377, -0.6258401274681091, 0.014515633694827557, -0.025760380551218987, -0.0032164028380066156, 9.09356689453125, -3.0892348289489746, -2.1728904247283936, 0.7558112740516663, 0.21437427401542664, 0.5858334302902222, -0.1989777535200119, -0.047238487750291824, 0.017582256346940994, -0.012252815067768097, 9.596954345703125, -0.26756343245506287, -2.0802412033081055, -0.08071887493133545, 0.7476261258125305, -0.27077150344848633, -0.6010178923606873, 0.004199374467134476, -0.028426116332411766, 0.01796196773648262, 9.163344383239746, -3.38846492767334, -1.3431466817855835, -0.40660685300827026, 0.6836508512496948, -0.2737537920475006, -0.5406951308250427, -0.22200685739517212, 0.05151071771979332, -0.004179058130830526, 9.615873336791992, 0.9046626091003418, -2.4896650314331055, 0.07773155719041824, 0.319112092256546, 0.1404663324356079, -0.9340205788612366, 0.011064539663493633, -0.011204230599105358, -0.00011990440543740988, 6.078396797180176, -0.6168227195739746, 7.625842094421387, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:07.028669,[],0,"(-0.5618894100189209, 0.43699127435684204, -0.5768682956695557, -0.4006768763065338, 0.05003364756703377, -0.10434605181217194, -0.009736540727317333, 9.760157585144043, -0.48366084694862366, -0.3987506628036499, 0.1449117809534073, 0.7634441256523132, -0.06691592186689377, -0.6258401274681091, 0.014515633694827557, -0.025760380551218987, -0.0032164028380066156, 9.09356689453125, -3.0892348289489746, -2.1728904247283936, 0.7558112740516663, 0.21437427401542664, 0.5858334302902222, -0.1989777535200119, -0.047238487750291824, 0.017582256346940994, -0.012252815067768097, 9.596954345703125, -0.26756343245506287, -2.0802412033081055, -0.08082009106874466, 0.7477241158485413, -0.2710523009300232, -0.6007556915283203, 0.02938028611242771, -0.035014260560274124, 0.01564614661037922, 9.225051879882812, -3.2467687129974365, -1.4450771808624268, -0.40660685300827026, 0.6836508512496948, -0.2737537920475006, -0.5406951308250427, -0.22200685739517212, 0.05151071771979332, -0.004179058130830526, 9.615873336791992, 0.9046626091003418, -2.4896650314331055, 0.07767423242330551, 0.3191814124584198, 0.1405058056116104, -0.9339957237243652, -0.0035263218451291323, 0.006390673574060202, 0.0015763514675199986, 6.048872947692871, -0.5792786478996277, 7.6436872482299805, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:07.038615,[],0,"(-0.5618894100189209, 0.43699127435684204, -0.5768682956695557, -0.4006768763065338, 0.05003364756703377, -0.10434605181217194, -0.009736540727317333, 9.760157585144043, -0.48366084694862366, -0.3987506628036499, 0.1449117809534073, 0.7634441256523132, -0.06691592186689377, -0.6258401274681091, 0.014515633694827557, -0.025760380551218987, -0.0032164028380066156, 9.09356689453125, -3.0892348289489746, -2.1728904247283936, 0.7558112740516663, 0.21437427401542664, 0.5858334302902222, -0.1989777535200119, -0.047238487750291824, 0.017582256346940994, -0.012252815067768097, 9.596954345703125, -0.26756343245506287, -2.0802412033081055, -0.08082009106874466, 0.7477241158485413, -0.2710523009300232, -0.6007556915283203, 0.02938028611242771, -0.035014260560274124, 0.01564614661037922, 9.225051879882812, -3.2467687129974365, -1.4450771808624268, -0.40660685300827026, 0.6836508512496948, -0.2737537920475006, -0.5406951308250427, -0.22200685739517212, 0.05151071771979332, -0.004179058130830526, 9.615873336791992, 0.9046626091003418, -2.4896650314331055, 0.07767423242330551, 0.3191814124584198, 0.1405058056116104, -0.9339957237243652, -0.0035263218451291323, 0.006390673574060202, 0.0015763514675199986, 6.048872947692871, -0.5792786478996277, 7.6436872482299805, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:07.048725,[],0,"(-0.5618894100189209, 0.43699127435684204, -0.5768682956695557, -0.4006768763065338, 0.05003364756703377, -0.10434605181217194, -0.009736540727317333, 9.760157585144043, -0.48366084694862366, -0.3987506628036499, 0.1449117809534073, 0.7634441256523132, -0.06691592186689377, -0.6258401274681091, 0.014515633694827557, -0.025760380551218987, -0.0032164028380066156, 9.09356689453125, -3.0892348289489746, -2.1728904247283936, 0.7558112740516663, 0.21437427401542664, 0.5858334302902222, -0.1989777535200119, -0.047238487750291824, 0.017582256346940994, -0.012252815067768097, 9.596954345703125, -0.26756343245506287, -2.0802412033081055, -0.08082009106874466, 0.7477241158485413, -0.2710523009300232, -0.6007556915283203, 0.02938028611242771, -0.035014260560274124, 0.01564614661037922, 9.225051879882812, -3.2467687129974365, -1.4450771808624268, -0.40660685300827026, 0.6836508512496948, -0.2737537920475006, -0.5406951308250427, -0.22200685739517212, 0.05151071771979332, -0.004179058130830526, 9.615873336791992, 0.9046626091003418, -2.4896650314331055, 0.07767423242330551, 0.3191814124584198, 0.1405058056116104, -0.9339957237243652, -0.0035263218451291323, 0.006390673574060202, 0.0015763514675199986, 6.048872947692871, -0.5792786478996277, 7.6436872482299805, 0.20966042578220367, 0.28155189752578735, 0.3353961110115051, -0.8742313981056213, -0.003939584828913212, 0.012083894573152065, -0.013826843351125717, 6.107542037963867, -1.8045517206192017, 7.451467514038086, 0.0)"
2023/02/21/14:24:07.058668,[],0,"(-0.563801109790802, 0.4366602599620819, -0.5764074325561523, -0.3990119993686676, 0.13950751721858978, -0.11481873691082001, -0.012246647849678993, 9.923078536987305, -0.745018720626831, -0.5900716781616211, 0.14356467127799988, 0.7641049027442932, -0.06857192516326904, -0.6251645684242249, 0.0588960237801075, -0.03549964353442192, -0.004351835232228041, 9.001440048217773, -3.154167890548706, -2.2166683673858643, 0.7571840286254883, 0.20658954977989197, 0.5885714888572693, -0.193847194314003, -0.2778857350349426, 0.051906995475292206, 0.07601431012153625, 9.690324783325195, 0.2789650559425354, -2.0471038818359375, -0.08105727285146713, 0.7477694153785706, -0.27145916223526, -0.6004835963249207, 0.05231082811951637, -0.03526638448238373, 0.012320557609200478, 9.177766799926758, -3.21659779548645, -1.463672161102295, -0.3958185911178589, 0.6875474452972412, -0.2634134590625763, -0.5488347411155701, -0.690819263458252, 0.09060711413621902, 0.04397963732481003, 9.89279556274414, 1.8848791122436523, -2.902989625930786, 0.07772165536880493, 0.3191164433956146, 0.14049971103668213, -0.9340149164199829, -0.008378862403333187, 0.012400805950164795, 0.007106082979589701, 6.027431964874268, -0.5730372667312622, 7.619890213012695, 0.21070057153701782, 0.28083816170692444, 0.3359649181365967, -0.8739924430847168, -0.04130582511425018, 0.011388667859137058, -0.0027020799461752176, 6.252313613891602, -1.6220308542251587, 7.474375247955322, 0.0)"
2023/02/21/14:24:07.068756,[],0,"(-0.563801109790802, 0.4366602599620819, -0.5764074325561523, -0.3990119993686676, 0.13950751721858978, -0.11481873691082001, -0.012246647849678993, 9.923078536987305, -0.745018720626831, -0.5900716781616211, 0.14356467127799988, 0.7641049027442932, -0.06857192516326904, -0.6251645684242249, 0.0588960237801075, -0.03549964353442192, -0.004351835232228041, 9.001440048217773, -3.154167890548706, -2.2166683673858643, 0.7571840286254883, 0.20658954977989197, 0.5885714888572693, -0.193847194314003, -0.2778857350349426, 0.051906995475292206, 0.07601431012153625, 9.690324783325195, 0.2789650559425354, -2.0471038818359375, -0.08105727285146713, 0.7477694153785706, -0.27145916223526, -0.6004835963249207, 0.05231082811951637, -0.03526638448238373, 0.012320557609200478, 9.177766799926758, -3.21659779548645, -1.463672161102295, -0.3958185911178589, 0.6875474452972412, -0.2634134590625763, -0.5488347411155701, -0.690819263458252, 0.09060711413621902, 0.04397963732481003, 9.89279556274414, 1.8848791122436523, -2.902989625930786, 0.07772165536880493, 0.3191164433956146, 0.14049971103668213, -0.9340149164199829, -0.008378862403333187, 0.012400805950164795, 0.007106082979589701, 6.027431964874268, -0.5730372667312622, 7.619890213012695, 0.21070057153701782, 0.28083816170692444, 0.3359649181365967, -0.8739924430847168, -0.04130582511425018, 0.011388667859137058, -0.0027020799461752176, 6.252313613891602, -1.6220308542251587, 7.474375247955322, 0.0)"
2023/02/21/14:24:07.078915,[],0,"(-0.563801109790802, 0.4366602599620819, -0.5764074325561523, -0.3990119993686676, 0.13950751721858978, -0.11481873691082001, -0.012246647849678993, 9.923078536987305, -0.745018720626831, -0.5900716781616211, 0.14356467127799988, 0.7641049027442932, -0.06857192516326904, -0.6251645684242249, 0.0588960237801075, -0.03549964353442192, -0.004351835232228041, 9.001440048217773, -3.154167890548706, -2.2166683673858643, 0.7571840286254883, 0.20658954977989197, 0.5885714888572693, -0.193847194314003, -0.2778857350349426, 0.051906995475292206, 0.07601431012153625, 9.690324783325195, 0.2789650559425354, -2.0471038818359375, -0.08105727285146713, 0.7477694153785706, -0.27145916223526, -0.6004835963249207, 0.05231082811951637, -0.03526638448238373, 0.012320557609200478, 9.177766799926758, -3.21659779548645, -1.463672161102295, -0.3958185911178589, 0.6875474452972412, -0.2634134590625763, -0.5488347411155701, -0.690819263458252, 0.09060711413621902, 0.04397963732481003, 9.89279556274414, 1.8848791122436523, -2.902989625930786, 0.07772165536880493, 0.3191164433956146, 0.14049971103668213, -0.9340149164199829, -0.008378862403333187, 0.012400805950164795, 0.007106082979589701, 6.027431964874268, -0.5730372667312622, 7.619890213012695, 0.21070057153701782, 0.28083816170692444, 0.3359649181365967, -0.8739924430847168, -0.04130582511425018, 0.011388667859137058, -0.0027020799461752176, 6.252313613891602, -1.6220308542251587, 7.474375247955322, 0.0)"
