Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.EnvironmentModel.ForcePlates.GRF_Prediction_Left.GRF_line.Opacity
 1.030000000000000e+00, 1.000000000000000e+00
 1.040000000000000e+00, 1.000000000000000e+00
 1.050000000000000e+00, 1.000000000000000e+00
 1.060000000000000e+00, 1.000000000000000e+00
 1.070000000000000e+00, 1.000000000000000e+00
 1.080000000000000e+00, 1.000000000000000e+00
 1.090000000000000e+00, 1.000000000000000e+00
 1.100000000000000e+00, 1.000000000000000e+00
 1.110000000000000e+00, 1.000000000000000e+00
 1.120000000000000e+00, 1.000000000000000e+00
 1.130000000000000e+00, 1.000000000000000e+00
 1.140000000000000e+00, 1.000000000000000e+00
 1.150000000000000e+00, 1.000000000000000e+00
 1.160000000000000e+00, 1.000000000000000e+00
 1.170000000000000e+00, 1.000000000000000e+00
 1.180000000000000e+00, 1.000000000000000e+00
 1.190000000000000e+00, 1.000000000000000e+00
 1.200000000000000e+00, 1.000000000000000e+00
 1.210000000000000e+00, 1.000000000000000e+00
 1.220000000000000e+00, 1.000000000000000e+00
 1.230000000000000e+00, 1.000000000000000e+00
 1.240000000000000e+00, 1.000000000000000e+00
 1.250000000000000e+00, 1.000000000000000e+00
 1.260000000000000e+00, 1.000000000000000e+00
 1.270000000000000e+00, 1.000000000000000e+00
 1.280000000000000e+00, 1.000000000000000e+00
 1.290000000000000e+00, 1.000000000000000e+00
 1.300000000000000e+00, 1.000000000000000e+00
 1.310000000000000e+00, 1.000000000000000e+00
 1.320000000000000e+00, 1.000000000000000e+00
 1.330000000000000e+00, 1.000000000000000e+00
 1.340000000000000e+00, 1.000000000000000e+00
 1.350000000000000e+00, 1.000000000000000e+00
 1.360000000000000e+00, 1.000000000000000e+00
 1.370000000000000e+00, 1.000000000000000e+00
 1.380000000000000e+00, 1.000000000000000e+00
 1.390000000000000e+00, 1.000000000000000e+00
 1.400000000000000e+00, 1.000000000000000e+00
 1.410000000000000e+00, 1.000000000000000e+00
 1.420000000000000e+00, 1.000000000000000e+00
 1.430000000000000e+00, 1.000000000000000e+00
 1.440000000000000e+00, 1.000000000000000e+00
 1.450000000000000e+00, 1.000000000000000e+00
 1.460000000000000e+00, 1.000000000000000e+00
 1.470000000000000e+00, 1.000000000000000e+00
 1.480000000000000e+00, 1.000000000000000e+00
 1.490000000000000e+00, 1.000000000000000e+00
 1.500000000000000e+00, 1.000000000000000e+00
