time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:13:27.578637,[],0,"(-0.5437681078910828, 0.416032075881958, -0.5929271578788757, -0.4238760471343994, -0.017953215166926384, -0.001527900923974812, 0.0004734387912321836, 9.816716194152832, -0.180490642786026, 0.42205139994621277, 0.17799340188503265, 0.7624841332435608, -0.06389438360929489, -0.6187517642974854, 0.009144132025539875, 0.005813975818455219, -0.004481680691242218, 8.959607124328613, -3.277966260910034, -2.222365140914917, 0.754030704498291, 0.2204105705022812, 0.5869786143302917, -0.19573703408241272, 0.0042188516817986965, -0.01205213088542223, -0.013487376272678375, 9.552270889282227, -0.24321918189525604, -2.2672839164733887, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5878919363021851, 0.5316855907440186, -0.4327116012573242, -0.4294812083244324, 0.010080727748572826, 0.015553761273622513, -0.016300251707434654, 9.593463897705078, 0.5116001963615417, -2.411099910736084, 0.09239888191223145, 0.31798166036605835, 0.19031165540218353, -0.9241924285888672, -0.0026370009873062372, 0.00667984876781702, 0.0054809339344501495, 6.063187122344971, -0.5168198347091675, 7.6388163566589355, 0.22627292573451996, 0.26576554775238037, 0.39792871475219727, -0.8484232425689697, 0.004279950633645058, 0.00020816948381252587, -0.006106252316385508, 6.192291259765625, -1.7003886699676514, 7.445114612579346, 0.0)"
2023/02/21/14:13:27.588652,[],0,"(-0.543732225894928, 0.4163210391998291, -0.5926663875579834, -0.4240030348300934, -0.007212135009467602, 0.001131744822487235, 0.002133802743628621, 9.775324821472168, -0.21847936511039734, 0.4770932197570801, 0.17799340188503265, 0.7624841332435608, -0.06389438360929489, -0.6187517642974854, 0.009144132025539875, 0.005813975818455219, -0.004481680691242218, 8.959607124328613, -3.277966260910034, -2.222365140914917, 0.7540267705917358, 0.22073961794376373, 0.5867983102798462, -0.1959218531847, 0.03600753843784332, -0.009831896983087063, -0.017732985317707062, 9.535052299499512, -0.35074499249458313, -2.2588894367218018, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5880833268165588, 0.5314122438430786, -0.43284162878990173, -0.4294265806674957, 0.022266685962677002, 0.009731614962220192, -0.02027939446270466, 9.571975708007812, 0.40131619572639465, -2.348306179046631, 0.09243427217006683, 0.3179234564304352, 0.1902884542942047, -0.9242136478424072, -0.0030414843931794167, 0.00485475966706872, 0.00418492779135704, 6.062585830688477, -0.5221243500709534, 7.645689010620117, 0.22605735063552856, 0.26592862606048584, 0.398027241230011, -0.848383367061615, 0.0065664988942444324, 0.0039836750365793705, -0.003663076087832451, 6.160775184631348, -1.7215783596038818, 7.464966773986816, 0.0)"
2023/02/21/14:13:27.598591,[],0,"(-0.543732225894928, 0.4163210391998291, -0.5926663875579834, -0.4240030348300934, -0.007212135009467602, 0.001131744822487235, 0.002133802743628621, 9.775324821472168, -0.21847936511039734, 0.4770932197570801, 0.17799340188503265, 0.7624841332435608, -0.06389438360929489, -0.6187517642974854, 0.009144132025539875, 0.005813975818455219, -0.004481680691242218, 8.959607124328613, -3.277966260910034, -2.222365140914917, 0.7540267705917358, 0.22073961794376373, 0.5867983102798462, -0.1959218531847, 0.03600753843784332, -0.009831896983087063, -0.017732985317707062, 9.535052299499512, -0.35074499249458313, -2.2588894367218018, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5880833268165588, 0.5314122438430786, -0.43284162878990173, -0.4294265806674957, 0.022266685962677002, 0.009731614962220192, -0.02027939446270466, 9.571975708007812, 0.40131619572639465, -2.348306179046631, 0.09243427217006683, 0.3179234564304352, 0.1902884542942047, -0.9242136478424072, -0.0030414843931794167, 0.00485475966706872, 0.00418492779135704, 6.062585830688477, -0.5221243500709534, 7.645689010620117, 0.22605735063552856, 0.26592862606048584, 0.398027241230011, -0.848383367061615, 0.0065664988942444324, 0.0039836750365793705, -0.003663076087832451, 6.160775184631348, -1.7215783596038818, 7.464966773986816, 0.0)"
2023/02/21/14:13:27.608712,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17877985537052155, 0.7622367739677429, -0.06376870721578598, -0.6188427805900574, -0.013117283582687378, 0.008981124497950077, 0.01090700551867485, 8.993902206420898, -3.203890085220337, -2.2359750270843506, 0.7540795803070068, 0.22100040316581726, 0.5865567922592163, -0.1961478739976883, 0.02545422501862049, -0.012413202784955502, -0.008074990473687649, 9.538208961486816, -0.3191172778606415, -2.2757880687713623, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5883785486221313, 0.5310965180397034, -0.4328888952732086, -0.4293650686740875, 0.018218237906694412, 0.0066993036307394505, -0.025169940665364265, 9.598434448242188, 0.49091005325317383, -2.3791086673736572, 0.09244655817747116, 0.31777864694595337, 0.19023467600345612, -0.9242733120918274, -0.0012965458445250988, 0.006988225504755974, 0.004235080908983946, 6.0613603591918945, -0.511431872844696, 7.640679836273193, 0.22600850462913513, 0.26599133014678955, 0.3980725407600403, -0.8483554720878601, 0.002040394814684987, 0.002136796247214079, -0.002687836531549692, 6.139506816864014, -1.7097245454788208, 7.456305980682373, 0.0)"
2023/02/21/14:13:27.618844,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17877985537052155, 0.7622367739677429, -0.06376870721578598, -0.6188427805900574, -0.013117283582687378, 0.008981124497950077, 0.01090700551867485, 8.993902206420898, -3.203890085220337, -2.2359750270843506, 0.7540795803070068, 0.22100040316581726, 0.5865567922592163, -0.1961478739976883, 0.02545422501862049, -0.012413202784955502, -0.008074990473687649, 9.538208961486816, -0.3191172778606415, -2.2757880687713623, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5883785486221313, 0.5310965180397034, -0.4328888952732086, -0.4293650686740875, 0.018218237906694412, 0.0066993036307394505, -0.025169940665364265, 9.598434448242188, 0.49091005325317383, -2.3791086673736572, 0.09244655817747116, 0.31777864694595337, 0.19023467600345612, -0.9242733120918274, -0.0012965458445250988, 0.006988225504755974, 0.004235080908983946, 6.0613603591918945, -0.511431872844696, 7.640679836273193, 0.22600850462913513, 0.26599133014678955, 0.3980725407600403, -0.8483554720878601, 0.002040394814684987, 0.002136796247214079, -0.002687836531549692, 6.139506816864014, -1.7097245454788208, 7.456305980682373, 0.0)"
2023/02/21/14:13:27.628638,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17877985537052155, 0.7622367739677429, -0.06376870721578598, -0.6188427805900574, -0.013117283582687378, 0.008981124497950077, 0.01090700551867485, 8.993902206420898, -3.203890085220337, -2.2359750270843506, 0.7540795803070068, 0.22100040316581726, 0.5865567922592163, -0.1961478739976883, 0.02545422501862049, -0.012413202784955502, -0.008074990473687649, 9.538208961486816, -0.3191172778606415, -2.2757880687713623, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5883785486221313, 0.5310965180397034, -0.4328888952732086, -0.4293650686740875, 0.018218237906694412, 0.0066993036307394505, -0.025169940665364265, 9.598434448242188, 0.49091005325317383, -2.3791086673736572, 0.09244655817747116, 0.31777864694595337, 0.19023467600345612, -0.9242733120918274, -0.0012965458445250988, 0.006988225504755974, 0.004235080908983946, 6.0613603591918945, -0.511431872844696, 7.640679836273193, 0.22600850462913513, 0.26599133014678955, 0.3980725407600403, -0.8483554720878601, 0.002040394814684987, 0.002136796247214079, -0.002687836531549692, 6.139506816864014, -1.7097245454788208, 7.456305980682373, 0.0)"
2023/02/21/14:13:27.638674,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17902636528015137, 0.7622244954109192, -0.06386546045541763, -0.6187766790390015, 0.003304820042103529, 0.006609339267015457, 0.0006395910168066621, 8.995984077453613, -3.2397942543029785, -2.2184195518493652, 0.7540519833564758, 0.22110092639923096, 0.5864571928977966, -0.19643811881542206, 0.023604808375239372, 0.0034899194724857807, -0.003650569822639227, 9.572470664978027, -0.2294175922870636, -2.2779972553253174, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5885797142982483, 0.530809223651886, -0.4328148066997528, -0.42951929569244385, 0.005512664094567299, 0.008420901373028755, -0.026118842884898186, 9.631741523742676, 0.481937974691391, -2.371971368789673, 0.0924481526017189, 0.3176930248737335, 0.19019967317581177, -0.9243097901344299, -0.0012346988078206778, 0.008754327893257141, 0.00690376665443182, 6.048360824584961, -0.5037599205970764, 7.6386613845825195, 0.2258523851633072, 0.2660564184188843, 0.39814743399620056, -0.8483415246009827, 0.0027210863772779703, 0.008450940251350403, 0.0009727046126499772, 6.15020227432251, -1.7106400728225708, 7.474425792694092, 0.0)"
2023/02/21/14:13:27.648671,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17902636528015137, 0.7622244954109192, -0.06386546045541763, -0.6187766790390015, 0.003304820042103529, 0.006609339267015457, 0.0006395910168066621, 8.995984077453613, -3.2397942543029785, -2.2184195518493652, 0.7540519833564758, 0.22110092639923096, 0.5864571928977966, -0.19643811881542206, 0.023604808375239372, 0.0034899194724857807, -0.003650569822639227, 9.572470664978027, -0.2294175922870636, -2.2779972553253174, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5885797142982483, 0.530809223651886, -0.4328148066997528, -0.42951929569244385, 0.005512664094567299, 0.008420901373028755, -0.026118842884898186, 9.631741523742676, 0.481937974691391, -2.371971368789673, 0.0924481526017189, 0.3176930248737335, 0.19019967317581177, -0.9243097901344299, -0.0012346988078206778, 0.008754327893257141, 0.00690376665443182, 6.048360824584961, -0.5037599205970764, 7.6386613845825195, 0.2258523851633072, 0.2660564184188843, 0.39814743399620056, -0.8483415246009827, 0.0027210863772779703, 0.008450940251350403, 0.0009727046126499772, 6.15020227432251, -1.7106400728225708, 7.474425792694092, 0.0)"
2023/02/21/14:13:27.658700,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17902636528015137, 0.7622244954109192, -0.06386546045541763, -0.6187766790390015, 0.003304820042103529, 0.006609339267015457, 0.0006395910168066621, 8.995984077453613, -3.2397942543029785, -2.2184195518493652, 0.7540519833564758, 0.22110092639923096, 0.5864571928977966, -0.19643811881542206, 0.023604808375239372, 0.0034899194724857807, -0.003650569822639227, 9.572470664978027, -0.2294175922870636, -2.2779972553253174, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5885797142982483, 0.530809223651886, -0.4328148066997528, -0.42951929569244385, 0.005512664094567299, 0.008420901373028755, -0.026118842884898186, 9.631741523742676, 0.481937974691391, -2.371971368789673, 0.0924481526017189, 0.3176930248737335, 0.19019967317581177, -0.9243097901344299, -0.0012346988078206778, 0.008754327893257141, 0.00690376665443182, 6.048360824584961, -0.5037599205970764, 7.6386613845825195, 0.2258523851633072, 0.2660564184188843, 0.39814743399620056, -0.8483415246009827, 0.0027210863772779703, 0.008450940251350403, 0.0009727046126499772, 6.15020227432251, -1.7106400728225708, 7.474425792694092, 0.0)"
2023/02/21/14:13:27.668699,[],0,"(-0.5436962842941284, 0.4164155423641205, -0.5926081538200378, -0.42403778433799744, -0.009518424049019814, 0.0032977701630443335, 0.0034516211599111557, 9.778205871582031, -0.23057207465171814, 0.49435874819755554, 0.17902636528015137, 0.7622244954109192, -0.06386546045541763, -0.6187766790390015, 0.003304820042103529, 0.006609339267015457, 0.0006395910168066621, 8.995984077453613, -3.2397942543029785, -2.2184195518493652, 0.7540777921676636, 0.2210603803396225, 0.5864090919494629, -0.19652828574180603, 0.0018709019059315324, -0.001328466460108757, -0.00556539511308074, 9.572338104248047, -0.29167306423187256, -2.3179891109466553, -0.026682930067181587, 0.7484315633773804, -0.24746045470237732, -0.6147369742393494, 0.001876462367363274, -0.002249589189887047, 0.015129335224628448, 9.186858177185059, -3.3865630626678467, -1.147508144378662, -0.5885970592498779, 0.5306668281555176, -0.4327246844768524, -0.4297622740268707, -0.0037226113490760326, 0.01991123892366886, -0.02052810788154602, 9.650908470153809, 0.5298322439193726, -2.427258253097534, 0.09245214611291885, 0.31765615940093994, 0.19015520811080933, -0.9243311882019043, -0.003078893991187215, 0.004925304092466831, 0.008429937064647675, 6.046571731567383, -0.5052343606948853, 7.639980316162109, 0.2258361279964447, 0.26607921719551086, 0.39821162819862366, -0.8483085632324219, -0.005936288740485907, 0.004377694800496101, 0.0019445851212367415, 6.186659812927246, -1.7207833528518677, 7.447113037109375, 0.0)"
